ID,Host,Type,Title,Severity
scan-1,host-001.acmecorp.internal,TLS1.2-Supported,TLS1.2 Supported,Info
scan-2,host-002.acmecorp.internal,HSTS-Header-Present-But-Short-Max-Age,HSTS Header Present But Short Max Age,Info
scan-3,host-003.acmecorp.internal,Server-Header-Discloses-Version,Server Header Discloses Version,Info
scan-4,host-004.acmecorp.internal,Missing-X-Content-Type-Options,Missing X Content Type Options,Info
scan-5,host-005.acmecorp.internal,Cookie-Missing-SameSite-Attribute,Cookie Missing SameSite Attribute,Info
scan-6,host-006.acmecorp.internal,Directory-Listing-Disabled-Confirmed,Directory Listing Disabled Confirmed,Info
scan-7,host-007.acmecorp.internal,TLS-Session-Resumption-Enabled,TLS Session Resumption Enabled,Info
scan-8,host-008.acmecorp.internal,HTTP-OPTIONS-Method-Enabled,HTTP OPTIONS Method Enabled,Info
scan-9,host-009.acmecorp.internal,Self-Signed-Cert-On-Internal-Host,Self Signed Cert On Internal Host,Info
scan-10,host-010.acmecorp.internal,Outdated-TLS-Cipher-Suite-Available,Outdated TLS Cipher Suite Available,Info
scan-11,host-011.acmecorp.internal,TLS1.2-Supported,TLS1.2 Supported,Info
scan-12,host-012.acmecorp.internal,HSTS-Header-Present-But-Short-Max-Age,HSTS Header Present But Short Max Age,Info
scan-13,host-013.acmecorp.internal,Server-Header-Discloses-Version,Server Header Discloses Version,Info
scan-14,host-014.acmecorp.internal,Missing-X-Content-Type-Options,Missing X Content Type Options,Info
scan-15,host-015.acmecorp.internal,Cookie-Missing-SameSite-Attribute,Cookie Missing SameSite Attribute,Info
scan-16,host-016.acmecorp.internal,Directory-Listing-Disabled-Confirmed,Directory Listing Disabled Confirmed,Info
scan-17,host-017.acmecorp.internal,TLS-Session-Resumption-Enabled,TLS Session Resumption Enabled,Info
scan-18,host-018.acmecorp.internal,HTTP-OPTIONS-Method-Enabled,HTTP OPTIONS Method Enabled,Info
scan-19,host-019.acmecorp.internal,Self-Signed-Cert-On-Internal-Host,Self Signed Cert On Internal Host,Info
scan-20,host-020.acmecorp.internal,Outdated-TLS-Cipher-Suite-Available,Outdated TLS Cipher Suite Available,Info
scan-21,host-021.acmecorp.internal,TLS1.2-Supported,TLS1.2 Supported,Info
scan-22,host-022.acmecorp.internal,HSTS-Header-Present-But-Short-Max-Age,HSTS Header Present But Short Max Age,Info
scan-23,host-023.acmecorp.internal,Server-Header-Discloses-Version,Server Header Discloses Version,Info
scan-24,host-024.acmecorp.internal,Missing-X-Content-Type-Options,Missing X Content Type Options,Info
scan-25,host-025.acmecorp.internal,Cookie-Missing-SameSite-Attribute,Cookie Missing SameSite Attribute,Info
scan-26,host-026.acmecorp.internal,Directory-Listing-Disabled-Confirmed,Directory Listing Disabled Confirmed,Info
scan-27,host-027.acmecorp.internal,TLS-Session-Resumption-Enabled,TLS Session Resumption Enabled,Info
scan-28,host-028.acmecorp.internal,HTTP-OPTIONS-Method-Enabled,HTTP OPTIONS Method Enabled,Info
scan-29,host-029.acmecorp.internal,Self-Signed-Cert-On-Internal-Host,Self Signed Cert On Internal Host,Info
scan-30,host-030.acmecorp.internal,Outdated-TLS-Cipher-Suite-Available,Outdated TLS Cipher Suite Available,Info
scan-31,host-031.acmecorp.internal,TLS1.2-Supported,TLS1.2 Supported,Info
scan-32,host-032.acmecorp.internal,HSTS-Header-Present-But-Short-Max-Age,HSTS Header Present But Short Max Age,Info
scan-33,host-033.acmecorp.internal,Server-Header-Discloses-Version,Server Header Discloses Version,Info
scan-34,host-034.acmecorp.internal,Missing-X-Content-Type-Options,Missing X Content Type Options,Info
scan-35,host-035.acmecorp.internal,Cookie-Missing-SameSite-Attribute,Cookie Missing SameSite Attribute,Info
scan-36,host-036.acmecorp.internal,Directory-Listing-Disabled-Confirmed,Directory Listing Disabled Confirmed,Info
scan-37,host-037.acmecorp.internal,TLS-Session-Resumption-Enabled,TLS Session Resumption Enabled,Info
scan-38,host-038.acmecorp.internal,HTTP-OPTIONS-Method-Enabled,HTTP OPTIONS Method Enabled,Info
scan-39,host-039.acmecorp.internal,Self-Signed-Cert-On-Internal-Host,Self Signed Cert On Internal Host,Info
scan-40,host-040.acmecorp.internal,Outdated-TLS-Cipher-Suite-Available,Outdated TLS Cipher Suite Available,Info
scan-41,host-001.acmecorp.internal,TLS1.2-Supported,TLS1.2 Supported,Info
scan-42,host-002.acmecorp.internal,HSTS-Header-Present-But-Short-Max-Age,HSTS Header Present But Short Max Age,Info
scan-43,host-003.acmecorp.internal,Server-Header-Discloses-Version,Server Header Discloses Version,Info
scan-44,host-004.acmecorp.internal,Missing-X-Content-Type-Options,Missing X Content Type Options,Info
scan-45,host-005.acmecorp.internal,Cookie-Missing-SameSite-Attribute,Cookie Missing SameSite Attribute,Info
scan-46,host-006.acmecorp.internal,Directory-Listing-Disabled-Confirmed,Directory Listing Disabled Confirmed,Info
scan-47,host-007.acmecorp.internal,TLS-Session-Resumption-Enabled,TLS Session Resumption Enabled,Info
scan-48,host-008.acmecorp.internal,HTTP-OPTIONS-Method-Enabled,HTTP OPTIONS Method Enabled,Info
scan-49,host-009.acmecorp.internal,Self-Signed-Cert-On-Internal-Host,Self Signed Cert On Internal Host,Info
scan-50,host-010.acmecorp.internal,Outdated-TLS-Cipher-Suite-Available,Outdated TLS Cipher Suite Available,Info
scan-51,host-011.acmecorp.internal,TLS1.2-Supported,TLS1.2 Supported,Info
scan-52,host-012.acmecorp.internal,HSTS-Header-Present-But-Short-Max-Age,HSTS Header Present But Short Max Age,Info
scan-53,host-013.acmecorp.internal,Server-Header-Discloses-Version,Server Header Discloses Version,Info
scan-54,host-014.acmecorp.internal,Missing-X-Content-Type-Options,Missing X Content Type Options,Info
scan-55,host-015.acmecorp.internal,Cookie-Missing-SameSite-Attribute,Cookie Missing SameSite Attribute,Info
scan-56,host-016.acmecorp.internal,Directory-Listing-Disabled-Confirmed,Directory Listing Disabled Confirmed,Info
scan-57,host-017.acmecorp.internal,TLS-Session-Resumption-Enabled,TLS Session Resumption Enabled,Info
scan-58,host-018.acmecorp.internal,HTTP-OPTIONS-Method-Enabled,HTTP OPTIONS Method Enabled,Info
scan-59,host-019.acmecorp.internal,Self-Signed-Cert-On-Internal-Host,Self Signed Cert On Internal Host,Info
scan-60,host-020.acmecorp.internal,Outdated-TLS-Cipher-Suite-Available,Outdated TLS Cipher Suite Available,Info
scan-61,host-021.acmecorp.internal,TLS1.2-Supported,TLS1.2 Supported,Info
scan-62,host-022.acmecorp.internal,HSTS-Header-Present-But-Short-Max-Age,HSTS Header Present But Short Max Age,Info
scan-63,host-023.acmecorp.internal,Server-Header-Discloses-Version,Server Header Discloses Version,Info
scan-64,host-024.acmecorp.internal,Missing-X-Content-Type-Options,Missing X Content Type Options,Info
